Gene,J000092712,TM00016,TM00089,TM00096,TM00137,TM00226,TM00256,TM00999,TM01571
A1CF,-0.36,0.39,-0.58,-0.4,1.1,-0.23,0.09,-0.52,-0.19
ABL1,1.32,-0.26,-0.55,-1.78,0.09,-0.21,0.64,0.81,1.59
ACVR1B,-1.63,-0.6,-1.37,0.64,0.76,1.43,0.62,-1.44,-1.05
ADAR,0.96,0.58,0.87,0.63,-2.45,0.5,0.46,1.15,-1.79
ADARB1,2.15,0.41,0.58,0.65,-0.55,0.49,-0.63,1.95,0.56
AFDN,-1.05,0.07,0.74,-0.34,0.41,0.64,0.54,0.74,0.04
AFF2,-0.29,0.0,0.7,-0.32,-0.26,0.6,0.98,0.43,-0.3
AGO1,-0.5,-0.8,1.36,-1.56,-0.3,0.95,1.1,0.86,0.54
AGO2,0.24,-0.78,-0.24,0.47,-1.05,0.5,0.89,1.22,0.88
AGO3,0.15,0.36,0.53,-1.97,-0.6,1.22,0.36,1.19,0.85
AGO4,-0.16,0.41,0.26,-1.01,-0.78,1.19,0.65,1.32,-0.89
AICDA,0.5,0.69,0.21,0.41,0.24,0.24,0.33,0.4,-0.1
AKT1,-0.24,0.6,-0.4,0.93,0.52,-0.69,-0.51,-1.34,0.55
AKT2,2.13,2.12,1.32,0.13,0.72,-2.43,-0.54,-1.94,0.15
AKT3,1.43,1.31,0.94,-0.95,-0.96,-0.72,1.33,0.23,0.81
ALK,-0.09,0.2,0.43,0.34,-0.07,0.51,0.67,-0.04,0.87
AMER1,0.57,-0.38,0.77,0.5,-0.21,-0.11,0.89,0.91,0.11
APC,0.5,-0.26,-0.07,-0.8,-1.39,0.39,0.65,-0.33,0.68
APOBEC1,0.38,0.45,0.22,0.35,1.09,0.47,0.41,0.26,0.37
APOBEC2,0.04,-0.11,-0.54,0.59,-0.2,0.59,-0.17,0.16,0.42
APOBEC3A,-0.25,-1.98,-0.02,0.19,-0.04,-0.45,1.05,0.07,-0.37
APOBEC3C,0.77,0.47,0.37,0.68,0.33,0.36,0.69,0.24,0.25
APOBEC3D,1.16,1.12,0.85,-0.07,0.39,0.93,0.73,0.62,-0.18
APOBEC3F,0.48,0.36,0.61,0.68,0.21,0.7,0.22,0.4,-0.41
APOBEC3G,0.72,0.43,0.98,0.22,0.14,0.67,0.66,0.99,-0.02
APOBEC4,0.36,0.44,0.16,0.32,0.89,0.47,0.18,0.21,0.34
AR,0.06,-0.02,0.62,-0.34,-0.28,0.94,0.25,0.31,1.0
ARID1A,0.68,0.01,-0.73,-0.63,-0.36,1.09,-0.16,-0.69,-0.35
ARID1B,0.42,-0.1,0.95,0.21,0.05,-0.79,1.06,1.23,0.06
ARID2,-0.62,-0.72,-0.8,0.02,-1.69,1.4,1.23,-0.5,-0.5
ASH1L,0.6,-0.91,0.75,0.86,-1.38,0.78,0.59,0.85,-2.41
ASXL1,1.1,1.29,-1.32,-0.07,-0.33,0.68,-0.07,0.27,1.02
ATM,0.42,0.32,0.43,0.33,0.1,-0.45,0.37,0.01,-0.12
ATN1,0.59,1.11,1.24,0.25,0.03,1.01,0.56,1.19,1.12
ATP10B,-1.41,-0.78,-0.29,-0.99,1.1,-0.19,0.39,-0.27,-0.52
ATR,-0.63,1.06,0.83,0.72,-0.74,1.27,0.16,1.12,-1.67
ATRX,0.51,0.12,0.3,0.2,-1.0,1.05,0.99,0.42,-2.31
AURKA,0.93,1.57,0.34,1.18,-2.34,-0.44,-1.82,0.62,-0.46
AURKB,0.31,1.25,0.29,1.2,-1.14,0.21,-0.51,0.61,0.45
AURKC,0.21,0.34,-0.02,-0.12,-0.44,1.63,-0.06,-0.75,1.86
AXIN1,-0.27,-0.69,1.09,-1.98,1.63,0.64,-1.17,0.83,0.49
B2M,0.32,0.34,0.33,-2.95,0.27,-7.47,0.22,-0.26,0.19
BAP1,1.17,0.78,1.04,0.54,0.64,-6.6,-0.08,-0.47,1.02
BCL2,0.59,-0.01,0.21,-0.54,-0.65,-0.42,1.68,0.93,-0.56
BCOR,0.23,-2.15,-1.82,0.17,-0.09,1.17,0.46,-1.66,-1.33
BCR,-0.41,-0.39,0.9,0.32,0.59,0.28,0.69,-0.35,-0.79
BID,-1.63,-0.26,0.82,0.93,0.97,0.25,0.54,-0.97,0.98
BRAF,-1.25,-0.22,0.57,-0.98,-1.39,-0.61,1.2,-0.49,-1.29
BRCA1,0.63,1.15,-0.5,0.82,-1.16,1.07,0.28,0.05,-0.31
BRCA2,0.22,0.4,0.9,1.16,-1.5,1.2,-0.7,0.84,0.38
BRIP1,1.64,0.74,0.56,0.75,-1.82,0.44,1.08,0.84,-1.04
BTK,-0.11,0.78,0.65,0.82,-0.1,0.07,0.09,0.46,0.24
CARD11,0.17,0.23,0.11,-0.8,-0.65,0.55,0.4,0.33,-1.04
CARM1,0.28,-0.72,0.64,-0.01,0.74,-1.76,0.98,1.42,1.25
CASP8,0.22,0.39,-0.7,-0.63,0.51,0.23,-0.01,0.85,1.0
CBFB,-1.27,-0.27,0.21,0.56,-0.55,0.83,-0.29,1.32,1.14
CBL,0.48,0.58,0.02,0.15,-0.85,0.92,0.07,0.35,-0.59
CCND1,0.48,0.44,0.53,0.4,0.54,0.61,0.06,0.63,0.33
CCNE1,-0.5,3.36,0.35,0.48,-0.8,-0.47,-0.92,1.49,-0.47
CCR2,0.98,1.23,0.92,0.43,1.11,0.58,0.28,0.9,0.45
CDC73,0.61,-0.59,-1.33,0.93,-1.67,0.87,0.78,1.44,-1.17
CDH1,-0.02,-2.0,0.51,0.51,0.51,0.54,0.52,0.45,-1.94
CDK12,-0.14,0.4,0.27,0.75,-1.03,0.63,0.57,-0.15,-0.23
CDK4,0.71,0.94,1.07,0.77,0.49,1.08,0.78,0.79,0.22
CDK6,0.82,0.04,0.76,0.76,0.07,0.35,0.42,0.87,-0.17
CDKN1B,-1.55,-0.88,1.07,0.13,0.89,0.67,-0.27,0.94,-2.57
CDKN2A,1.09,1.0,-0.57,-0.18,0.07,0.08,0.74,0.74,-1.12
CDKN2C,1.49,-0.17,0.1,-0.15,-1.65,-0.64,-0.47,-0.03,-0.05
CHEK2,0.32,1.73,1.7,1.09,0.02,-0.76,0.99,0.07,0.41
CIC,0.69,1.52,0.46,-0.97,-0.67,-0.62,0.4,-1.6,1.21
CIRBP,-1.89,0.42,-2.58,0.19,0.86,0.32,-0.14,-3.06,-0.28
COL18A1,0.74,-1.28,1.03,-1.53,-0.23,0.62,0.34,0.83,1.06
CREBBP,0.64,-0.59,0.5,1.3,-1.24,0.92,-0.25,0.88,0.08
CRLF2,0.45,0.76,0.66,0.63,0.65,0.79,0.26,0.52,0.43
CSF1R,1.01,-0.16,0.91,0.58,-0.05,0.09,-0.33,0.31,0.89
CSMD3,0.07,0.77,0.12,0.03,0.74,0.09,0.12,-0.08,0.05
CTCF,-1.18,-0.36,-0.38,0.88,-0.94,0.42,-0.25,0.79,-0.6
CTNNB1,0.02,0.19,0.11,0.86,0.69,0.66,0.83,0.56,0.57
CXCR4,-1.07,-0.2,1.17,1.89,-0.63,0.47,1.69,1.73,-2.06
CYLD,0.63,1.33,1.83,-1.26,-1.39,-0.56,-0.9,1.4,0.79
DALRD3,1.11,1.44,-1.69,0.19,1.3,-0.31,-1.19,-1.87,1.51
DAXX,0.79,2.04,0.55,1.56,0.28,-1.16,-1.82,-1.41,-0.11
DDIT4,0.36,0.29,0.91,0.66,-0.68,-0.8,0.65,0.28,0.58
DDR2,1.97,-0.42,1.11,-0.7,-1.03,-0.55,-1.03,1.71,1.55
DICER1,-1.57,-1.53,-0.06,-0.5,-0.34,-0.83,0.21,0.33,-1.33
DNMT1,0.93,0.75,0.99,0.97,-0.55,0.59,0.27,1.3,0.17
DNMT3A,0.28,-0.61,0.51,1.18,-1.14,0.86,0.06,-0.45,-0.96
DNMT3B,-0.25,0.01,0.88,2.58,-0.55,0.29,-0.99,-0.05,0.15
DOT1L,0.62,1.25,-1.1,0.07,0.01,-0.49,0.39,0.13,1.58
DROSHA,1.15,1.19,-0.32,0.98,-1.81,1.0,0.54,0.12,0.91
DSPP,0.89,0.78,0.73,0.64,0.71,0.81,0.73,1.03,0.86
EGFR,0.55,0.67,0.54,0.53,-0.12,0.73,0.61,0.44,0.1
EHMT2,1.15,0.35,0.37,1.71,0.88,-0.48,-2.05,-0.69,-1.66
EP300,0.59,-0.45,0.37,0.51,0.08,0.59,0.82,-0.2,0.58
EPHA10,-0.8,-0.45,0.72,-0.6,1.43,0.19,-1.21,0.24,-1.37
EPHA3,-0.16,-0.08,0.3,0.25,0.41,0.17,0.78,-0.11,0.8
EPHA5,1.59,0.42,0.38,0.31,0.36,0.93,1.04,0.2,0.49
EPHB6,0.99,-0.4,0.58,-1.45,0.02,0.31,1.31,0.46,-0.25
ERBB2,0.2,-0.24,0.24,0.52,0.67,0.62,0.18,-0.48,-0.41
ERBB3,-0.06,-2.3,-0.26,0.61,0.56,0.61,0.28,-0.55,-2.6
ERBB4,1.13,0.35,0.13,-0.09,-0.03,0.64,-0.22,-0.19,0.23
ESR1,0.12,0.1,1.49,-1.15,-0.21,0.47,-0.48,0.87,0.58
