Gene,J000106560,TM00065,TM00090,TM00090,TM00107,TM00170,TM00231,TM00279,TM00314,TM00335
A1CF,0.46,0.37,0.48,0.48,0.4,1.71,0.66,0.73,1.7,0.32
ABL1,1.48,1.35,0.42,0.42,0.75,-0.05,-1.26,1.41,-0.18,-0.9
ACVR1B,-0.63,-1.23,-0.6,-0.6,-1.14,1.47,-0.04,-0.64,1.18,1.06
ADAR,0.79,0.02,1.05,1.05,1.0,0.11,-0.3,-2.2,-0.08,0.93
ADARB1,0.11,1.16,0.08,0.08,0.03,-0.44,0.18,1.67,-0.94,0.85
AFDN,-0.79,-0.25,-0.22,-0.22,0.48,0.64,0.27,0.13,0.62,0.62
AFF2,-0.4,0.26,0.6,0.6,0.26,0.29,0.83,0.16,0.38,0.27
AGO1,0.17,0.61,0.29,0.29,-0.33,-0.41,-0.23,-0.11,0.33,-1.68
AGO2,0.59,-0.95,-0.57,-0.57,0.62,0.37,0.85,0.83,-0.09,-0.39
AGO3,1.27,0.65,0.78,0.78,-0.48,0.13,-0.37,0.2,0.04,-0.82
AGO4,-0.88,-0.2,-0.42,-0.42,-0.2,0.72,-1.13,0.62,2.18,-1.52
AICDA,0.17,-0.18,-0.33,-0.33,0.29,0.35,0.01,0.36,0.46,0.24
AKT1,-1.88,0.79,1.63,1.63,0.94,-0.56,0.08,-0.31,-0.25,-0.5
AKT2,2.05,-0.43,0.34,0.34,0.96,-0.39,0.3,-0.55,-0.76,0.49
AKT3,1.15,1.08,0.45,0.45,1.0,-1.02,0.95,0.84,-1.5,-1.06
ALK,0.87,1.39,-0.27,-0.27,0.62,-0.17,-0.04,0.66,0.1,1.11
AMER1,-0.11,-0.36,0.49,0.49,1.24,0.08,-0.44,-0.06,-0.11,-0.43
APC,-0.55,0.86,0.69,0.69,0.22,-0.72,0.43,0.81,-0.82,-1.67
APOBEC1,0.6,0.51,0.44,0.44,0.54,1.45,0.64,0.89,0.77,0.71
APOBEC2,0.87,0.76,0.68,0.68,0.79,0.79,0.92,1.2,1.06,0.69
APOBEC3A,-0.64,-1.14,-1.2,-1.2,-0.63,-0.43,1.12,-1.78,-0.16,2.73
APOBEC3C,0.37,0.39,0.59,0.59,-0.56,-0.87,0.39,0.21,0.28,0.29
APOBEC3D,-0.26,-0.1,0.08,0.08,-0.07,-0.82,0.62,0.71,0.06,0.52
APOBEC3F,0.25,0.18,0.26,0.26,0.26,-0.58,0.23,0.34,0.01,0.53
APOBEC3G,0.54,0.57,0.57,0.57,-0.86,-1.64,0.79,0.23,-0.23,0.66
APOBEC4,1.01,0.9,0.83,0.83,0.94,1.66,1.06,1.34,1.87,1.7
AR,0.43,0.89,0.92,0.92,1.0,0.06,-0.18,0.81,-0.06,0.9
ARID1A,-0.87,-0.15,1.23,1.23,0.21,0.45,-0.77,-1.61,-2.26,0.79
ARID1B,-0.35,-0.01,0.93,0.93,0.53,0.45,-1.51,-0.68,0.21,-1.13
ARID2,-0.67,-0.11,1.3,1.3,-0.44,0.08,-0.03,-0.23,-0.08,-0.58
ASH1L,1.22,0.21,1.11,1.11,1.39,1.01,0.36,-2.06,0.37,-1.37
ASXL1,0.7,0.38,-0.69,-0.69,0.24,0.41,-1.3,-1.14,-2.16,1.1
ATM,1.44,0.67,-0.37,-0.37,1.0,-0.13,0.02,1.13,-0.94,-0.37
ATN1,0.9,0.27,0.6,0.6,1.18,-1.92,0.56,-0.19,-2.96,1.45
ATP10B,1.24,0.87,-0.78,-0.78,0.31,1.71,-1.64,-1.46,1.61,-0.2
