ensembl_gene_id;gene_symbol_hint;platform;mean;sd
ENSG00000000003;TSPAN6;RNA_Seq;10,853;1,5246
ENSG00000000005;TNMD;RNA_Seq;1,2514;3,162
ENSG00000000419;DPM1;RNA_Seq;10,5016;0,6298
ENSG00000000457;SCYL3;RNA_Seq;9,6071;0,5823
ENSG00000000460;C1orf112;RNA_Seq;9,4651;0,7444
ENSG00000000938;FGR;RNA_Seq;2,8058;2,7571
ENSG00000000971;CFH;RNA_Seq;6,4516;4,4928
ENSG00000001036;FUCA2;RNA_Seq;11,1017;1,1594
ENSG00000001084;GCLC;RNA_Seq;11,063;1,3393
ENSG00000001167;NFYA;RNA_Seq;10,7572;0,6675
ENSG00000001460;STPG1;RNA_Seq;8,375;0,949
ENSG00000001461;NIPAL3;RNA_Seq;10,4284;0,9709
ENSG00000001497;LAS1L;RNA_Seq;10,9435;0,5992
ENSG00000001561;ENPP4;RNA_Seq;8,5564;2,8875
ENSG00000001617;SEMA3F;RNA_Seq;9,0632;2,5757
ENSG00000001626;CFTR;RNA_Seq;5,9605;4,4261
ENSG00000001629;ANKIB1;RNA_Seq;11,4496;0,7274
ENSG00000001630;CYP51A1;RNA_Seq;11,6277;0,9098
ENSG00000001631;KRIT1;RNA_Seq;10,6147;0,6059
ENSG00000002016;RAD52;RNA_Seq;8,4114;0,7609
ENSG00000002079;MYH16;RNA_Seq;3,6852;2,2782
ENSG00000002330;BAD;RNA_Seq;9,9377;0,6364
ENSG00000002549;LAP3;RNA_Seq;11,2356;0,9515
ENSG00000002586;CD99;RNA_Seq;11,738;1,6628
ENSG00000002587;HS3ST1;RNA_Seq;7,1175;2,7452
ENSG00000002726;AOC1;RNA_Seq;5,4894;4,7533
ENSG00000002745;WNT16;RNA_Seq;2,5467;2,3591
ENSG00000002746;HECW1;RNA_Seq;3,2358;3,1529
ENSG00000002822;MAD1L1;RNA_Seq;9,8769;0,8026
ENSG00000002834;LASP1;RNA_Seq;13,0452;0,8674
ENSG00000002919;SNX11;RNA_Seq;9,6446;0,5332
ENSG00000002933;TMEM176A;RNA_Seq;6,4098;4,7033
ENSG00000003056;M6PR;RNA_Seq;12,0134;0,6549
ENSG00000003096;KLHL13;RNA_Seq;6,9718;3,1723
ENSG00000003137;CYP26B1;RNA_Seq;5,8144;3,4946
ENSG00000003147;ICA1;RNA_Seq;9,3995;2,9401
ENSG00000003249;DBNDD1;RNA_Seq;9,6197;1,6582
ENSG00000003393;ALS2;RNA_Seq;10,4018;0,6493
ENSG00000003400;CASP10;RNA_Seq;8,256;2,0937
ENSG00000003402;CFLAR;RNA_Seq;11,9839;0,9022
ENSG00000003436;TFPI;RNA_Seq;8,9474;2,0716
ENSG00000003509;NDUFAF7;RNA_Seq;9,2548;0,5138
ENSG00000003756;RBM5;RNA_Seq;12,2479;0,6816
ENSG00000003987;MTMR7;RNA_Seq;6,3708;1,5063
ENSG00000003989;SLC7A2;RNA_Seq;6,7521;3,8755
ENSG00000004059;ARF5;RNA_Seq;12,0499;0,5803
ENSG00000004139;SARM1;RNA_Seq;9,134;1,7167
ENSG00000004142;POLDIP2;RNA_Seq;11,9095;0,5268
ENSG00000004399;PLXND1;RNA_Seq;10,1636;2,1509
ENSG00000004455;AK2;RNA_Seq;12,1813;0,5332
ENSG00000004468;CD38;RNA_Seq;4,458;3,2101
ENSG00000004478;FKBP4;RNA_Seq;12,142;0,9831
ENSG00000004487;KDM1A;RNA_Seq;12,0731;0,7065
ENSG00000004534;RBM6;RNA_Seq;11,7489;0,6631
ENSG00000004660;CAMKK1;RNA_Seq;8,5892;1,3258
ENSG00000004700;RECQL;RNA_Seq;10,6797;0,896
ENSG00000004766;VPS50;RNA_Seq;9,8704;0,5183
ENSG00000004776;HSPB6;RNA_Seq;3,8666;3,4798
ENSG00000004777;ARHGAP33;RNA_Seq;8,8962;1,3399
ENSG00000004779;NDUFAB1;RNA_Seq;10,7744;0,6127
ENSG00000004799;PDK4;RNA_Seq;6,6964;3,0748
ENSG00000004809;SLC22A16;RNA_Seq;0,8835;2,6263
ENSG00000004838;ZMYND10;RNA_Seq;5,3812;1,8865
ENSG00000004846;ABCB5;RNA_Seq;2,6296;2,2145
ENSG00000004848;ARX;RNA_Seq;1,8375;3,2398
ENSG00000004864;SLC25A13;RNA_Seq;10,689;0,7488
ENSG00000004866;ST7;RNA_Seq;9,8055;0,7344
ENSG00000004897;CDC27;RNA_Seq;11,4233;0,6162
ENSG00000004939;SLC4A1;RNA_Seq;0,8224;2,0074
ENSG00000004948;CALCR;RNA_Seq;1,3727;3,0639
ENSG00000004961;HCCS;RNA_Seq;9,6945;0,8855
ENSG00000004975;DVL2;RNA_Seq;10,2112;0,7539
ENSG00000005001;PRSS22;RNA_Seq;6,8929;4,2746
ENSG00000005007;UPF1;RNA_Seq;11,9863;0,4618
ENSG00000005020;SKAP2;RNA_Seq;9,9129;1,7568
